Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Tôi không có một người bạn nào và nếu có ai muốn đi chơi, tôi sẽ viện cớ để bỏ họ. Tôi chỉ không thể chịu nổi khi ở gần mọi người. Và bây giờ tôi ở đây, trượt lớp 9, hoàn toàn không có bạn bè, tôi đang dùng thuốc và đi trị liệu nhưng tôi vẫn không thể ổn định cuộc sống của mình. Mỗi khi làm bất cứ điều gì, tôi đều cảm thấy thất bại.",1,0,0,0,0,0,1,0,0,0,0
Tôi đã sống ở Houston 16 năm và rất khổ sở. Tôi ghét ở đây. nhưng tôi có hai đứa con (6 và 9 tuổi) và đã kết hôn 12 năm. Hôn nhân của tôi thật tồi tệ. Tôi không thể chịu đựng chồng tôi. Mọi thứ anh ấy làm đều khiến tôi khó chịu. Chúng tôi cãi nhau suốt ngày. Chúng tôi không có tiền và mọi thứ dường như tồi tệ hơn mỗi ngày. Tôi sẽ không ngạc nhiên nếu một ngày nào đó tôi mất nhà rất sớm.,1,0,0,0,0,0,1,0,0,0,0
"Tôi 17 tuổi và lẽ ra phải vào đại học vào năm tới, nhưng tôi quá sợ hãi không biết có nên đi không. Tôi có tiền sử trầm cảm, lòng tự trọng rất thấp, và tôi biết tôi có nhiều triệu chứng của OCD và lo âu, đặc biệt là GAD. Ý nghĩ đi đại học vào thời điểm này khiến tôi kinh hoàng vì tôi lo lắng rằng tất cả các vấn đề của mình sẽ ngày càng trở nên tồi tệ đến mức tôi không thể đối phó được nữa.",1,0,0,0,0,0,1,0,0,0,0
Tôi không thể tưởng tượng được cuộc sống không có anh ấy. Tôi chưa bao giờ yêu ai như tôi yêu anh ấy. Vấn đề duy nhất là chúng tôi cãi nhau suốt ngày. Anh ấy thực sự làm tôi phát điên và chúng tôi hiếm khi hạnh phúc nữa.,1,0,0,0,0,0,1,0,0,0,0
"tôi có tất cả mọi thứ khiến tôi ghét bản thân, tôi đến phòng tập gym nhưng vẫn ghét bản thân, tôi cũng đã cố gắng điều trị mụn trứng cá nhưng không có tác dụng. điều này thực sự ảnh hưởng đến lòng tự trọng và cuộc sống xã hội của tôi, tôi không cảm thấy tự tin chút nào và tôi ghét bản thân",1,0,0,0,0,0,1,0,0,0,0
"Tôi có lòng tự trọng cực kỳ thấp mà không rõ lý do; mẹ và gia đình tôi luôn cố gắng hết sức để nói với tôi rằng tôi xinh đẹp, và đôi khi tôi cảm thấy như vậy, nhưng đôi khi tôi cảm thấy thật khủng khiếp, điều này thật ích kỷ khi tôi nghĩ về nó. Tôi cũng cảm thấy rất tự ti về tính cách của mình, vì cảm thấy như không ai thích tôi, có lẽ nghĩ tôi phiền phức hoặc tôi không đáng để họ nói chuyện.",1,0,0,0,0,0,1,0,0,0,0
Tôi không thể tập trung ngay cả trong hai phút và tôi sợ rằng điều đó sẽ ảnh hưởng đến sự nghiệp của mình. Hôm qua tôi nhận được kết quả lớp 12 và thấy thất vọng vì tôi mong đợi điểm cao hơn.,1,0,0,0,0,0,1,0,0,0,0
Tôi cảm thấy mình vô dụng đối với con cái hoặc chồng mình vì những vấn đề tâm lý mà tôi không thể bình thường được. Tôi không thể giữ được một công việc.,1,0,0,0,0,0,1,0,0,0,0
"Tôi không thể hoàn thành bất cứ việc gì, tôi không thể tập trung vào những điều quan trọng, vì điều đó khiến tôi nghĩ về bản thân mình, dẫn đến việc tôi cảm thấy vô giá trị và căm ghét bản thân. Tôi muốn hét lên điều đó với họ, nhưng tôi sợ họ sẽ đánh giá tôi.",1,0,0,0,0,0,1,0,0,0,0
Tôi muốn ở bên cô ấy nhưng tôi không thể tự mình kiểm soát. Tôi đang cảm thấy vô giá trị và tội lỗi.,1,0,0,0,0,0,1,0,0,0,0
"Tôi cảm thấy lo lắng, không đủ năng lực, không đủ tốt cho anh ấy. Tôi hiểu rằng việc tôi phàn nàn khiến anh ấy cảm thấy không đủ năng lực, vì vậy đó là một vòng luẩn quẩn mà tôi muốn phá vỡ.",1,0,0,0,0,0,1,0,0,0,0
Tôi được điểm B. Điều này chứng tỏ tôi kém cỏi như thế nào.,1,0,0,0,0,0,1,0,0,0,0
Tôi đã đưa ra những lựa chọn tồi tệ có thể làm hại những người thân yêu của tôi mà tôi cá nhân không bao giờ có thể tha thứ. Tôi không xứng đáng được tốt hơn.,1,0,0,0,0,0,1,0,0,0,0
"Gặp một người bạn cũ, người mà tôi đã không gặp trong hai thập kỷ để ăn trưa. Điều gì sẽ xảy ra nếu tôi không có gì để nói, điều gì sẽ xảy ra nếu chúng tôi không còn hợp nhau nữa, điều gì sẽ xảy ra nếu điều này diễn ra tồi tệ.",1,0,0,0,0,0,1,0,0,0,0
Sếp tôi khen tôi nhưng họ chỉ tử tế thôi.,1,0,0,0,0,0,1,0,0,0,0
Đạt điểm cao không có nghĩa là tôi thông minh.,1,0,0,0,0,0,1,0,0,0,0
"Tôi đã vượt qua kỳ thi, nhưng tôi chỉ gặp may mắn.",1,0,0,0,0,0,1,0,0,0,0
