Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking
"Họ nói bài thuyết trình của mình rất tốt, nhưng mình biết là do mình may mắn trúng chủ đề quen thuộc thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mấy đứa bạn khen mình nấu ăn ngon, chắc là chúng nó lịch sự chứ đồ mình làm sao mà ngon được.",1,0,0,0,0,0,1,0,0,0,0
"Mình được thăng chức nhưng chỉ là vì không có ai khác phù hợp hơn vào thời điểm đó thôi.",1,0,0,0,0,0,1,0,0,0,0
"Khách hàng hài lòng về dịch vụ, nhưng mình nghĩ đó là nhờ sản phẩm tốt chứ không phải mình làm tốt.",1,0,0,0,0,0,1,0,0,0,0
"Mình giúp được người khác một việc nhỏ, nhưng có gì đâu, ai cũng làm được mà.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu mua quà cho mình, chắc là thấy có lỗi chuyện gì nên mới làm vậy.",1,0,0,0,0,0,1,0,0,0,0
"Tôi nhận được phản hồi tích cực từ sếp, nhưng chắc là sếp đang cố gắng khích lệ tôi thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình giải quyết được vấn đề khó, nhưng chắc là do tình cờ tìm ra cách giải quyết chứ không phải mình giỏi.",1,0,0,0,0,0,1,0,0,0,0
"Mọi người khen mình có gu thời trang tốt, nhưng mình chỉ mặc đại mấy đồ trong tủ thôi mà.",1,0,0,0,0,0,1,0,0,0,0
"Tôi đạt được mục tiêu tập luyện, nhưng chắc là do tôi tập những bài dễ thôi.",1,0,0,0,0,0,1,0,0,0,0
"Đồng nghiệp nói mình có ý tưởng sáng tạo, nhưng mình nghĩ ai cũng có thể nghĩ ra thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè khen mình biết lắng nghe, nhưng mình chỉ ngồi đó và nghe thôi mà.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được chọn vào đội tuyển, chắc là do thiếu người chứ không phải tôi có tài năng gì.",1,0,0,0,0,0,1,0,0,0,0
"Thầy cô nói mình có tiến bộ, nhưng chắc là do mấy lần trước mình làm tệ quá thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được điểm cao môn tiếng Anh, chắc là đề thi lần này dễ hơn mọi khi thôi.",1,0,0,0,0,0,1,0,0,0,0
"Họ khen mình lạc quan, nhưng mình chỉ đang cố gắng tỏ ra vui vẻ thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được bạn bè rủ đi chơi, chắc là chúng nó rủ cho đủ tụ thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi hoàn thành tốt bài kiểm tra, nhưng chắc là may mắn đoán trúng đáp án thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được nhận vào công ty này, chắc là do ít ứng viên nên mình mới có cơ hội.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen mình có khả năng lãnh đạo, nhưng mình nghĩ ai cũng làm được thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình giảm cân thành công, nhưng chắc là do chế độ ăn kiêng khắc nghiệt thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mọi người nói mình có nụ cười đẹp, nhưng mình thấy bình thường mà.",1,0,0,0,0,0,1,0,0,0,0
"Tôi giúp đỡ được một người bạn, nhưng đó chỉ là việc nhỏ nhặt thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bài viết của mình được nhiều lượt thích, chắc là do chủ đề đang hot thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có giọng hát hay, nhưng mình nghĩ đó chỉ là do mình hát đúng tông thôi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè khen mình có tinh thần thép, nhưng mình chỉ đang cố gắng không gục ngã thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi nhận được hoa từ một người lạ, chắc là họ nhầm người thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình hoàn thành deadline đúng hạn, nhưng mình nghĩ đó là vì mình không có việc gì khác để làm.",1,0,0,0,0,0,1,0,0,0,0
"Người yêu khen mình xinh đẹp, nhưng mình nghĩ chắc là anh ấy nói cho mình vui thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được chọn làm trưởng nhóm, chắc là do mọi người không muốn làm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có óc hài hước, nhưng mình chỉ đang nói những điều ngớ ngẩn thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình đạt giải trong cuộc thi, nhưng mình nghĩ đó chỉ là may mắn thôi.",1,0,0,0,0,0,1,0,0,0,0
"Đồng nghiệp khen mình có khả năng giao tiếp tốt, nhưng mình chỉ đang nói chuyện bình thường thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được bạn bè tin tưởng, nhưng mình nghĩ đó là vì mình không có gì để che giấu.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có đôi mắt đẹp, nhưng mình nghĩ đó chỉ là do ánh sáng thôi.",1,0,0,0,0,0,1,0,0,0,0
"Khách hàng khen mình tận tâm, nhưng mình nghĩ đó là công việc mình phải làm thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được mời tham gia dự án lớn, nhưng mình nghĩ đó là do mình có kinh nghiệm cũ thôi.",1,0,0,0,0,0,1,0,0,0,0
"Sếp khen mình có khả năng thích nghi tốt, nhưng mình chỉ đang cố gắng làm theo yêu cầu thôi.",1,0,0,0,0,0,1,0,0,0,0
"Tôi được mọi người lắng nghe, nhưng mình nghĩ đó là vì mình đang nói về vấn đề của họ.",1,0,0,0,0,0,1,0,0,0,0
"Mình được khen là có sự kiên nhẫn, nhưng mình chỉ đang chờ đợi cơ hội thôi.",1,0,0,0,0,0,1,0,0,0,0
"Họ nói mình có khả năng giải quyết vấn đề tốt, nhưng mình nghĩ đó là do mình đã gặp nhiều vấn đề tương tự rồi.",1,0,0,0,0,0,1,0,0,0,0
"Bạn bè khen mình có tâm hồn nghệ sĩ, nhưng mình chỉ đang vẽ linh tinh thôi.",1,0,0,0,0,0,1,0,0,0,0
"Mình được mọi người tin tưởng giao phó, nhưng mình nghĩ đó là vì mình không có gì để từ chối.",1,0,0,0,0,0,1,0,0,0,0
